,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
259,2,0,3,4,7,1,0,1,16,1
260,2,0,3,4,7,1,0,1,19,1
261,2,0,3,4,1,0,0,1,47,6
262,2,0,3,4,1,0,1,0,29,6
263,1,4,2,4,7,0,0,1,40,3
264,2,4,4,2,1,0,0,0,21,6
265,1,4,3,4,7,2,0,0,44,6
266,2,4,0,4,1,0,0,0,47,6
267,1,4,0,4,8,2,0,0,24,6
268,2,4,2,4,7,0,0,1,66,6
269,2,0,4,2,1,0,0,0,58,6
270,2,0,4,2,1,0,0,1,20,6
271,1,4,3,4,7,1,0,0,26,6
272,1,4,3,4,1,2,0,1,14,6
273,6,3,0,4,1,0,0,1,30,6
274,2,4,2,4,7,0,0,1,29,6
275,2,4,0,2,1,0,0,1,23,6
276,2,4,0,2,1,0,0,1,30,6
277,2,4,4,4,1,0,0,1,26,3
278,1,4,2,4,1,2,1,0,94,6
279,1,0,2,0,1,0,0,0,25,6
280,1,0,2,0,1,1,0,0,34,6
281,2,2,0,2,1,0,1,1,36,3
282,3,0,0,4,1,0,0,1,43,6
283,1,4,0,4,1,1,0,1,13,1
284,1,4,0,4,1,1,0,1,12,1
285,1,4,0,4,1,1,0,1,11,1
286,1,4,0,4,1,1,0,0,14,1
287,1,4,0,4,1,1,0,1,16,1
288,1,4,0,4,1,1,0,0,12,1
289,3,4,2,2,1,0,0,1,62,6
290,2,0,3,4,7,0,0,0,32,6
291,1,4,2,2,1,0,0,1,24,6
292,2,4,0,2,1,0,0,1,64,6
293,1,4,0,4,1,1,0,1,48,1
294,1,4,0,4,1,1,0,1,37,1
295,1,4,0,4,1,1,0,0,29,1
296,2,0,0,4,1,0,0,1,53,6
297,4,4,0,1,1,0,0,1,57,6
298,4,4,0,1,1,0,0,0,52,6
299,4,4,0,1,1,1,0,0,55,6
300,2,4,0,1,1,0,0,1,33,6
301,1,4,2,2,1,2,0,0,25,6
302,2,0,3,2,7,0,0,1,63,6
303,2,4,0,4,1,1,0,0,56,6
304,2,0,0,4,1,0,1,1,34,6
305,1,0,2,2,1,0,0,1,25,6
306,1,0,2,2,1,1,0,1,23,6
307,1,0,2,2,1,1,0,0,25,6
308,1,0,2,2,1,1,0,1,21,6
309,1,4,2,2,3,0,0,1,35,6
310,1,0,0,1,1,0,1,1,34,6
311,1,0,2,2,5,0,0,1,43,6
312,2,4,2,4,1,0,0,0,34,6
313,2,4,4,4,1,1,0,1,29,2
314,2,4,4,4,1,0,0,1,43,2
315,1,4,2,4,3,0,0,0,25,6
316,4,4,3,4,3,0,0,1,50,2
317,4,4,3,4,3,0,0,1,29,6
318,2,0,4,2,3,0,0,0,40,6
319,2,0,4,2,3,0,0,1,33,6
320,2,4,3,4,7,0,0,0,50,6
321,1,2,0,4,1,1,0,0,39,1
322,2,4,4,4,1,0,0,1,42,5
323,2,4,4,4,1,0,0,1,51,6
324,1,4,0,4,1,2,1,0,35,6
325,3,3,4,2,1,0,0,0,42,6
326,3,3,4,2,1,0,0,1,24,6
327,2,0,0,4,1,0,0,1,39,6
328,2,0,2,2,1,0,0,1,32,6
329,2,4,0,4,1,0,0,0,17,6
330,2,4,0,4,1,1,0,0,45,6
331,2,4,2,4,1,0,0,1,63,6
332,2,4,2,4,1,1,0,0,57,1
333,2,4,2,4,1,1,0,1,21,1
334,2,4,2,4,1,1,0,0,47,1
335,2,4,0,4,1,0,0,1,17,5
336,2,1,0,4,1,0,0,0,51,6
337,2,3,0,4,1,0,0,0,30,6
338,1,3,2,2,7,0,0,1,22,6
339,2,3,2,2,3,1,0,1,24,6
340,2,3,2,2,3,0,0,1,44,6
341,2,0,4,3,1,0,0,1,18,3
342,1,4,2,0,1,0,0,0,36,6
343,2,0,4,2,1,0,1,0,25,6
344,1,0,0,2,1,2,1,1,45,6
345,1,0,2,2,1,0,1,1,60,3
346,1,4,0,2,0,2,0,0,19,6
347,2,4,4,4,5,0,0,1,52,6
