,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1238,2,0,0,4,1,0,0,1,39,5
1239,1,4,0,4,1,1,0,0,36,1
1240,2,4,0,4,1,0,0,1,11,5
1241,2,4,0,4,1,0,0,1,26,5
1242,2,4,4,4,5,0,0,1,25,6
1243,2,4,0,4,1,0,0,1,15,5
1244,2,0,0,4,1,0,0,1,38,6
1245,2,0,0,4,1,0,0,0,19,6
1246,1,0,4,1,1,0,0,1,20,6
1247,1,4,0,4,1,2,0,1,26,1
1248,1,3,4,4,5,0,0,0,21,6
1249,2,4,0,4,1,0,0,0,26,6
1250,2,4,0,4,1,0,0,1,52,6
1251,2,3,0,1,1,0,0,1,26,6
1252,2,4,4,4,1,0,0,1,46,6
1253,1,0,0,2,1,2,0,0,26,6
1254,1,0,0,2,1,0,0,1,19,6
1255,1,0,0,2,1,1,0,1,19,6
1256,2,0,0,4,1,0,0,1,47,6
1257,2,0,0,4,1,0,0,1,61,6
1258,2,0,0,4,1,0,0,0,37,6
1259,1,0,0,4,1,2,0,0,17,4
1260,1,4,0,4,1,1,0,0,78,1
1261,2,4,0,4,1,0,0,0,29,6
1262,1,0,0,4,1,1,0,1,25,2
1263,1,0,0,4,1,0,1,1,16,3
1264,1,0,0,4,1,2,1,1,34,6
1265,2,0,0,2,1,1,0,1,60,1
1266,2,0,0,2,1,1,0,0,60,1
1267,1,4,0,4,1,1,0,0,72,1
1268,1,4,0,4,1,0,1,1,18,3
1269,2,4,0,4,1,0,0,0,29,6
1270,2,4,0,4,1,0,0,0,45,6
1271,2,4,0,4,1,0,0,0,47,6
1272,1,0,0,4,1,2,0,1,14,4
1273,2,4,0,4,1,0,0,1,59,3
1274,2,4,4,4,1,0,0,1,25,3
1275,2,4,0,4,1,0,0,1,37,6
1276,2,0,0,4,1,1,0,0,24,6
1277,2,0,0,4,1,0,0,1,10,5
1278,3,4,4,4,1,1,0,0,34,6
1279,2,0,0,4,1,0,0,1,26,6
1280,2,3,0,4,1,0,0,0,56,6
1281,2,3,0,4,1,0,0,0,32,6
1282,2,4,0,4,1,0,0,1,58,6
1283,2,0,0,2,1,0,0,1,47,6
1284,2,0,0,2,1,1,0,1,19,6
1285,2,0,0,2,1,1,0,0,19,6
1286,1,4,0,2,1,2,0,1,16,6
1287,2,1,0,4,1,0,0,1,22,6
1288,2,0,0,4,1,0,0,1,30,6
1289,2,0,0,4,1,0,0,1,28,6
1290,2,4,0,4,1,0,0,1,19,3
1291,2,0,0,4,1,0,0,0,27,6
1292,2,0,0,4,1,0,0,0,33,6
1293,2,0,0,4,1,0,0,1,82,6
1294,2,4,0,4,1,0,1,1,38,5
1295,2,0,0,1,1,0,0,1,28,6
1296,2,4,0,4,1,0,0,1,9,5
1297,2,4,0,4,1,0,0,1,14,5
1298,2,4,0,2,1,0,0,1,22,6
1299,1,4,0,4,1,0,0,1,62,6
1300,2,0,0,4,1,0,0,0,33,6
1301,2,0,0,4,1,1,0,0,9,6
1302,2,0,0,4,1,1,0,0,30,6
1303,2,0,0,4,1,0,0,1,53,3
1304,2,0,0,4,1,1,0,0,50,3
1305,3,4,0,4,1,0,0,0,53,5
1306,3,4,0,4,1,0,0,0,32,6
1307,2,4,0,4,1,0,0,1,33,3
1308,2,0,4,4,1,0,0,1,46,6
1309,2,0,4,4,1,0,0,1,59,6
1310,2,4,0,4,1,0,0,1,32,6
1311,2,0,4,4,1,2,1,0,12,6
1312,2,0,4,4,1,0,0,1,21,6
1313,2,4,4,4,5,1,0,1,20,6
1314,1,4,0,4,1,2,0,1,21,6
1315,2,4,0,2,1,0,0,1,38,6
1316,2,4,0,2,1,0,0,1,26,6
1317,1,4,0,4,1,1,0,0,26,1
1318,2,4,0,4,1,0,0,1,72,6
1319,2,4,0,4,1,1,0,1,41,6
1320,2,0,0,4,1,0,0,0,55,5
1321,2,4,0,4,1,0,0,1,66,5
1322,3,4,0,4,1,0,0,0,47,6
1323,3,4,0,4,1,0,0,0,39,6
1324,3,4,0,4,1,1,0,0,24,6
1325,3,3,0,4,1,0,0,1,38,6
1326,2,4,0,4,1,0,0,1,40,5
1327,2,4,0,4,1,0,0,1,19,5
1328,1,4,0,4,1,2,0,1,17,1
1329,1,4,0,4,1,1,0,0,69,1
1330,1,4,0,4,1,0,1,1,18,3
1331,2,4,4,4,5,0,0,0,65,6
1332,2,0,0,4,1,0,0,1,18,5
1333,2,0,4,4,1,0,0,1,31,6
1334,2,0,0,4,1,0,0,1,48,6
1335,2,0,0,4,1,0,0,0,44,6
1336,2,0,0,4,1,1,0,0,38,6
1337,2,0,0,4,1,1,0,0,16,6
1338,2,0,0,4,0,0,0,1,29,3
1339,1,4,0,4,1,2,1,0,4,6
1340,2,4,0,4,1,0,0,0,21,6
1341,2,0,0,4,1,0,0,0,53,5
1342,2,4,0,4,1,0,0,1,52,6
1343,2,0,0,2,1,0,0,0,22,6
1344,2,0,0,2,1,1,0,1,23,6
1345,2,0,0,2,1,1,0,0,26,1
1346,2,4,0,4,1,0,0,1,50,6
1347,2,4,0,2,8,0,0,1,31,5
1348,2,1,0,4,1,0,0,1,56,6
1349,2,1,0,4,1,0,0,0,26,6
1350,2,0,0,4,1,1,0,1,87,1
1351,2,4,0,4,0,1,0,0,38,1
1352,3,0,0,4,1,0,1,1,23,5
1353,2,0,0,4,1,0,0,1,13,5
1354,2,4,0,4,1,0,1,1,18,3
1355,2,4,0,4,1,1,0,1,18,3
1356,2,4,0,4,1,1,0,1,23,6
1357,2,4,0,4,1,1,0,0,15,6
1358,2,4,0,4,1,1,0,0,20,6
1359,2,4,0,4,1,1,0,1,20,6
1360,2,4,0,4,1,1,0,0,20,6
1361,2,4,0,4,1,1,0,0,15,6
1362,2,4,0,2,1,0,0,1,57,6
1363,2,4,0,2,1,0,0,1,25,6
1364,1,0,0,4,1,2,0,1,40,6
1365,2,4,4,4,5,0,0,1,22,5
1366,2,0,0,4,1,0,0,1,19,3
1367,1,4,0,4,1,2,0,0,23,6
1368,2,0,0,4,1,0,0,1,31,6
1369,1,0,0,4,1,1,0,1,18,6
1370,1,0,0,4,1,1,0,1,18,6
1371,1,0,0,4,1,1,0,1,16,6
1372,1,0,0,4,1,1,0,1,19,6
1373,1,0,0,2,1,0,0,0,34,6
1374,3,4,0,4,1,0,0,1,19,6
1375,3,4,0,4,1,1,0,0,18,6
1376,2,0,0,4,1,0,0,1,75,6
1377,2,4,0,4,1,0,0,1,19,6
1378,1,4,4,2,1,0,1,1,14,6
1379,1,4,0,4,1,0,0,1,70,6
1380,1,4,0,4,1,0,1,1,60,3
1381,2,2,0,4,1,0,0,0,87,6
1382,2,0,0,2,1,0,0,1,24,3
1383,1,4,0,4,1,2,0,0,42,6
1384,2,0,0,1,1,0,0,1,26,6
1385,2,0,0,4,1,0,0,1,21,6
1386,2,4,0,4,1,0,0,1,14,5
1387,2,4,0,4,1,0,1,1,30,5
1388,2,4,0,4,1,0,0,1,31,6
1389,2,4,0,4,1,1,0,0,29,6
1390,3,4,0,2,1,0,0,1,46,6
1391,2,4,0,4,1,0,0,1,24,3
1392,2,4,0,4,1,0,0,1,17,5
1393,2,4,0,4,1,2,1,1,2,1
1394,1,4,0,4,1,2,0,1,13,6
1395,1,2,0,4,1,0,0,1,31,5
1396,1,2,0,4,1,2,0,1,14,5
1397,1,4,0,4,1,2,0,0,37,6
1398,3,0,0,4,1,0,0,0,36,6
1399,3,0,0,4,1,1,0,1,31,6
1400,1,0,0,4,1,2,0,0,24,6
1401,2,4,0,4,1,0,0,0,44,6
1402,2,0,0,4,1,0,1,1,53,3
1403,2,0,0,4,1,0,0,1,28,6
1404,2,0,0,4,1,0,0,0,35,6
1405,2,2,0,4,1,0,0,1,44,6
1406,1,0,0,4,1,0,0,1,39,2
1407,1,2,0,4,1,1,0,1,42,1
1408,2,0,0,2,1,0,0,1,36,6
1409,2,0,0,2,1,1,0,0,49,6
1410,2,0,0,4,1,0,0,1,47,6
1411,2,0,0,4,1,0,0,0,46,5
1412,1,4,0,4,1,0,0,1,26,3
1413,1,4,0,4,1,2,0,1,12,3
1414,1,4,0,4,1,2,0,0,16,6
1415,2,0,0,4,1,0,0,1,45,6
1416,2,0,0,4,1,1,0,0,21,6
1417,1,4,0,4,1,2,0,0,4,6
1418,1,4,0,4,1,0,0,1,42,0
1419,1,4,0,4,1,1,0,1,81,1
1420,1,4,0,1,1,0,0,1,19,3
1421,1,4,0,2,1,0,0,1,18,6
1422,1,4,0,2,1,1,0,1,18,6
1423,2,4,0,4,1,0,0,1,10,5
1424,2,4,0,4,1,0,1,0,42,6
1425,2,4,0,4,1,1,0,1,53,6
1426,2,1,0,4,1,1,0,0,55,6
1427,2,0,0,4,1,0,0,1,59,1
1428,2,0,0,4,1,0,0,0,46,6
1429,2,0,0,4,1,1,0,0,53,1
1430,2,0,0,4,1,1,0,0,68,1
1431,3,4,0,4,1,2,0,1,22,6
1432,2,4,0,4,1,0,0,1,25,5
1433,2,0,0,4,1,0,0,1,30,6
1434,1,4,0,4,1,2,0,0,12,6
1435,1,4,0,4,1,2,0,1,44,3
1436,1,4,0,4,1,2,0,0,27,6
1437,2,4,0,4,1,0,0,1,24,3
1438,2,0,4,4,5,0,0,1,45,5
1439,1,3,0,4,1,0,0,0,37,6
1440,2,4,0,4,1,0,0,1,29,5
1441,2,4,0,4,1,0,0,1,55,6
1442,2,4,0,4,1,1,0,0,34,1
1443,3,3,0,0,1,0,1,1,47,2
1444,1,4,0,4,1,1,0,0,69,1
1445,2,4,0,4,1,0,0,0,24,6
1446,1,2,0,4,1,2,0,0,78,6
1447,1,4,0,4,1,2,0,0,68,1
1448,1,3,0,4,1,0,0,0,73,6
1449,2,2,0,4,1,1,1,1,66,6
1450,2,2,0,4,1,1,0,0,66,6
1451,2,0,0,4,1,1,0,1,19,1
1452,2,0,0,4,1,1,0,0,54,1
1453,2,0,0,4,1,1,0,1,7,6
1454,2,4,0,4,1,0,0,1,22,5
1455,2,0,0,4,1,0,0,0,24,6
1456,2,0,0,4,1,0,0,1,45,5
1457,2,2,0,4,1,0,0,0,21,6
1458,2,2,0,4,1,1,0,0,20,6
1459,2,2,0,4,1,0,0,0,22,6
1460,2,4,0,2,1,0,0,1,26,5
1461,2,4,4,4,5,0,0,1,47,6
1462,3,0,4,4,1,0,0,1,17,6
1463,3,0,4,4,1,0,0,1,38,6
1464,3,0,4,4,1,0,0,1,18,6
1465,3,0,4,4,1,1,0,1,19,6
1466,3,0,4,4,1,1,0,0,34,6
1467,2,3,0,4,1,0,0,0,41,6
1468,2,3,0,4,1,1,0,0,41,6
1469,2,3,0,4,1,1,0,1,10,6
1470,2,3,0,4,1,0,0,0,32,6
1471,1,0,0,4,1,1,0,0,22,1
1472,2,0,0,4,1,0,1,1,89,6
1473,2,0,0,4,1,0,0,1,55,6
1474,2,0,0,4,1,1,1,0,91,6
1475,2,0,0,4,1,1,1,0,50,6
1476,1,4,0,4,1,0,0,1,25,6
1477,2,0,0,4,1,0,0,1,35,3
1478,1,2,0,4,1,2,0,1,8,6
1479,1,0,0,4,1,0,1,1,52,3
1480,2,0,0,4,1,0,0,1,58,6
1481,2,0,0,4,1,1,0,0,51,6
1482,2,0,0,4,1,1,0,0,11,1
1483,2,0,0,4,1,1,0,0,51,1
1484,2,0,0,4,1,0,0,1,28,6
1485,2,2,0,4,1,0,0,0,21,6
1486,2,0,0,4,1,0,0,1,33,4
1487,2,4,0,4,1,0,0,0,41,6
1488,1,3,0,4,1,0,0,1,25,6
1489,1,4,0,4,1,2,0,0,12,6
1490,1,4,0,4,1,2,1,0,9,6
1491,1,4,0,4,1,2,1,0,4,6
1492,2,4,0,4,1,0,0,0,58,4
1493,3,2,0,4,1,0,0,1,16,3
1494,4,0,0,4,1,0,0,0,46,6
1495,4,0,0,4,1,0,0,0,22,6
1496,4,0,0,4,1,0,0,1,38,2
1497,4,0,0,4,1,1,0,1,28,2
1498,2,0,0,4,1,0,0,1,30,5
1499,2,4,0,4,1,0,0,1,31,3
1500,2,0,0,4,1,0,0,1,46,5
1501,2,0,4,4,5,0,0,1,24,6
1502,2,0,4,4,5,1,0,0,23,6
1503,1,4,4,2,1,0,0,1,18,6
1504,1,4,4,2,1,1,0,0,18,6
1505,1,4,4,2,1,1,0,0,16,6
1506,2,4,4,4,1,0,0,1,27,3
1507,3,0,4,4,1,0,0,0,38,6
1508,2,0,0,4,1,0,0,0,40,5
1509,2,0,0,4,1,0,0,0,33,6
1510,1,4,0,4,1,2,1,1,6,6
1511,2,4,0,4,1,2,0,0,48,2
1512,1,4,0,4,1,1,0,1,53,1
1513,1,4,0,2,1,0,0,1,44,6
1514,1,4,0,4,1,1,0,0,71,1
1515,2,4,0,4,1,0,0,1,56,5
1516,3,1,0,4,1,0,0,1,46,1
1517,3,1,0,4,1,0,0,1,37,1
1518,3,1,0,4,1,1,0,1,11,1
1519,2,0,0,4,1,0,0,0,28,6
1520,1,2,0,4,1,1,0,0,77,1
1521,1,4,0,4,1,2,0,0,14,6
1522,2,4,0,0,1,0,0,1,35,6
1523,2,4,0,0,1,0,0,1,26,6
1524,2,4,0,0,1,1,0,1,25,6
1525,1,0,0,4,1,0,1,1,54,3
1526,2,0,4,4,5,0,0,1,17,3
1527,1,0,0,4,1,2,0,1,44,6
1528,2,0,0,2,1,1,0,1,55,1
1529,1,4,0,4,1,2,0,0,14,6
1530,2,0,4,4,1,0,0,1,48,6
1531,2,4,0,4,1,1,0,1,23,1
1532,2,4,0,4,1,1,0,0,45,1
1533,2,4,0,4,1,1,0,1,19,1
1534,2,0,4,4,5,1,0,1,21,6
1535,2,0,0,4,1,0,0,0,21,6
1536,2,4,0,4,1,0,0,1,17,3
1537,1,4,0,4,1,2,0,1,1,6
1538,2,0,0,4,1,0,0,0,20,6
1539,2,0,0,4,1,1,0,0,43,6
1540,2,2,0,4,1,0,0,1,33,2
1541,2,2,0,4,1,0,0,1,52,2
1542,2,4,0,4,1,0,0,1,41,5
1543,3,0,0,1,1,0,0,0,33,6
1544,3,0,0,1,1,1,0,0,44,6
1545,1,4,0,4,1,2,0,0,7,6
1546,2,0,4,4,5,0,0,0,48,6
1547,2,0,4,4,5,1,0,1,55,6
1548,2,0,4,4,5,1,0,1,19,6
1549,2,4,0,2,1,0,0,1,42,6
1550,1,4,0,4,1,2,0,0,23,1
1551,2,0,4,2,5,0,0,1,32,6
1552,2,0,0,4,1,0,0,1,49,6
1553,3,4,0,4,1,0,0,1,59,6
1554,3,4,0,4,1,0,0,0,31,6
1555,3,4,0,4,1,1,0,0,35,6
1556,2,4,0,4,1,0,0,1,32,6
1557,2,4,0,4,1,1,0,1,4,6
1558,2,0,0,4,1,0,0,1,57,6
1559,2,0,0,4,1,0,0,1,35,4
1560,2,0,0,4,1,1,0,1,29,4
1561,2,0,0,4,1,1,0,1,47,4
1562,2,0,0,4,1,1,0,1,24,4
1563,2,0,4,2,5,1,0,0,19,3
1564,2,0,0,4,1,0,0,1,19,6
1565,1,4,0,4,1,0,0,1,55,6
1566,1,4,0,4,1,1,0,1,29,1
1567,2,4,0,4,1,0,0,1,42,6
1568,2,4,4,2,5,0,0,1,28,6
1569,2,4,4,2,5,1,0,1,36,6
1570,2,4,0,4,1,0,1,1,42,5
1571,2,4,0,4,1,0,0,0,45,6
1572,1,4,0,4,1,2,1,1,12,6
1573,1,0,0,4,1,2,0,1,26,6
1574,2,4,0,4,1,0,0,1,19,3
1575,1,4,0,4,1,2,1,1,42,6
1576,2,0,0,4,1,0,0,0,21,6
1577,2,0,0,4,1,0,0,1,63,6
1578,2,4,0,4,1,0,0,1,17,3
1579,2,0,0,4,1,0,1,1,38,5
1580,2,0,0,4,1,0,0,0,30,5
1581,2,0,0,4,1,0,0,1,30,5
1582,2,0,0,4,1,0,0,1,41,5
1583,1,4,0,4,1,0,0,1,25,6
1584,1,4,0,4,1,1,0,1,20,6
1585,2,4,0,4,1,0,0,1,61,6
1586,2,4,0,4,1,0,0,0,33,6
1587,2,0,0,4,1,0,0,0,57,6
1588,1,0,4,4,5,0,0,0,19,6
1589,2,4,4,4,5,0,0,0,20,6
1590,1,4,4,4,1,2,1,0,63,6
1591,1,4,0,4,1,2,0,1,80,2
1592,1,2,4,4,8,1,0,1,22,1
1593,2,2,4,4,1,0,1,1,17,3
1594,2,0,0,4,1,0,0,1,37,5
1595,1,1,4,0,5,0,0,1,26,6
1596,1,1,4,0,5,1,0,0,24,6
1597,2,0,0,4,1,0,0,0,48,6
1598,2,0,0,4,1,0,0,0,49,6
1599,2,0,0,4,1,1,0,0,77,6
1600,1,4,0,4,1,1,0,0,59,1
1601,2,0,0,4,1,0,0,1,48,6
1602,2,0,0,4,1,1,0,0,39,6
1603,2,0,0,4,1,0,0,1,31,5
1604,2,0,0,4,1,0,0,1,23,3
1605,2,2,4,2,5,1,0,0,11,6
1606,2,2,4,2,5,1,0,0,24,6
1607,2,2,4,2,5,1,0,0,11,6
1608,1,2,0,4,1,2,0,1,86,6
1609,2,0,4,4,5,1,0,0,57,6
1610,2,0,4,4,5,1,0,0,27,6
1611,2,0,0,4,1,0,0,1,46,6
1612,2,0,0,4,1,0,1,1,18,6
1613,2,0,0,4,1,1,1,1,18,6
1614,2,3,1,4,4,0,0,0,41,6
1615,2,4,4,4,5,0,0,1,84,6
1616,2,0,4,4,5,0,0,1,22,6
1617,2,4,4,4,5,0,0,0,26,6
1618,2,4,4,4,5,1,0,1,6,6
1619,2,0,4,4,5,1,0,0,32,1
1620,2,0,4,4,4,0,0,0,30,6
1621,2,2,4,4,5,0,0,1,25,5
1622,2,4,0,4,1,0,0,1,28,6
1623,1,4,0,4,1,2,0,0,43,6
1624,1,3,4,2,5,0,1,1,34,6
1625,2,2,0,4,1,0,0,1,50,6
1626,2,0,0,4,1,0,0,0,80,6
1627,1,4,0,4,1,1,0,1,54,1
1628,1,4,0,2,1,2,0,1,51,6
1629,2,4,0,4,1,2,0,0,64,6
1630,2,4,0,4,1,2,0,1,81,6
1631,2,4,0,4,1,1,0,1,26,2
1632,2,4,0,4,1,0,0,1,55,2
1633,2,4,0,1,1,0,0,1,18,5
1634,1,4,0,2,1,2,0,0,32,6
1635,2,2,4,4,5,0,0,1,38,6
1636,2,2,4,4,5,1,0,0,56,6
1637,2,4,0,4,1,0,0,1,19,3
1638,1,4,0,4,1,1,0,1,20,1
1639,1,0,0,4,1,2,0,1,41,1
1640,2,4,0,4,1,0,0,1,11,5
1641,2,0,0,4,1,0,0,1,24,6
1642,2,0,0,4,1,1,0,0,23,6
1643,1,4,0,4,1,1,0,1,80,1
1644,2,2,0,4,1,0,0,1,35,5
1645,2,0,0,4,1,0,0,1,28,6
1646,2,0,4,4,1,0,0,1,34,5
1647,1,4,0,4,1,2,0,1,16,6
1648,1,4,4,4,5,1,0,0,88,1
1649,2,4,0,2,1,1,0,1,41,6
1650,2,4,0,2,1,1,0,1,38,6
1651,2,4,0,2,1,0,0,1,19,6
1652,2,4,4,4,5,0,0,1,25,3
1653,3,4,4,4,5,0,0,1,19,6
1654,1,0,0,1,1,1,0,1,45,1
1655,2,0,4,4,5,0,0,0,26,6
1656,2,0,4,4,5,0,0,1,18,6
1657,2,0,4,4,5,0,0,1,27,6
1658,1,0,0,4,1,1,0,0,65,1
1659,1,0,0,4,1,1,0,0,40,1
1660,2,4,0,4,1,0,0,1,11,5
1661,1,0,0,4,1,1,0,0,82,1
1662,1,0,0,4,1,2,1,0,41,1
1663,2,0,0,4,1,0,0,0,43,6
1664,2,0,0,4,1,0,0,1,52,6
1665,2,4,0,4,1,0,1,1,35,5
1666,2,4,0,2,1,0,0,1,24,6
1667,2,4,4,4,1,0,0,0,25,6
1668,2,4,4,4,1,0,0,1,42,6
1669,2,4,4,4,1,1,0,0,25,6
1670,2,4,0,4,1,0,1,1,48,3
1671,2,0,4,4,1,0,0,1,42,6
1672,2,4,0,4,1,0,0,0,12,5
1673,1,0,0,4,1,2,0,1,31,6
1674,2,4,0,4,1,0,0,1,26,1
1675,2,4,0,4,1,1,0,0,46,1
1676,1,0,0,4,1,1,0,0,45,1
1677,2,0,0,2,1,1,0,1,19,6
1678,3,4,0,4,1,0,0,0,23,6
1679,3,4,0,4,1,0,0,1,27,6
1680,3,4,0,4,1,1,0,1,22,6
1681,1,0,0,4,1,2,1,1,9,6
1682,1,4,0,4,1,2,0,0,8,6
1683,2,4,0,2,1,0,0,1,37,6
1684,1,2,0,4,1,1,0,0,75,1
1685,1,0,0,4,1,2,0,0,22,6
1686,2,0,0,4,1,1,0,1,23,6
1687,2,0,0,2,1,0,0,1,20,6
1688,2,0,0,2,1,0,0,1,36,6
1689,5,2,0,2,1,0,1,1,24,6
1690,1,4,0,4,1,0,1,1,21,4
1691,2,0,0,4,1,0,0,1,36,6
1692,3,4,4,4,5,0,0,1,10,5
1693,1,0,0,2,1,2,0,1,17,6
1694,1,4,0,4,1,2,0,0,12,6
1695,2,4,4,4,5,0,0,1,46,6
1696,2,4,0,4,1,0,0,1,58,6
1697,1,0,0,4,1,1,0,0,19,6
1698,2,0,0,4,1,0,0,1,24,6
1699,2,0,0,4,1,0,0,1,42,6
1700,2,0,0,4,1,1,0,0,35,6
1701,2,4,0,4,1,0,0,1,67,5
1702,2,0,0,4,1,0,0,0,45,5
1703,3,4,0,4,1,0,0,1,26,6
1704,2,0,0,4,1,0,1,0,27,5
1705,4,4,4,4,5,0,0,0,43,5
1706,4,4,4,4,5,0,0,1,19,6
1707,4,4,4,4,5,1,0,1,18,6
1708,5,0,4,4,5,2,1,1,32,2
1709,5,0,4,4,5,2,1,0,23,2
1710,2,4,0,4,1,0,0,1,28,6
1711,2,4,0,4,1,0,0,0,49,6
1712,2,4,0,4,1,1,0,0,26,6
1713,3,4,4,4,3,0,0,0,40,6
1714,2,4,4,4,5,0,0,1,30,6
1715,1,4,4,4,1,2,0,1,52,6
1716,1,0,0,4,1,1,0,1,85,1
1717,1,4,0,4,1,1,0,0,82,1
1718,1,0,4,4,5,0,0,0,23,6
1719,2,0,0,4,1,0,0,1,20,6
1720,1,2,4,4,5,0,1,1,52,3
1721,2,4,4,4,1,0,0,0,63,6
1722,3,0,4,2,5,0,0,1,39,6
1723,1,4,0,4,1,1,0,0,34,1
1724,2,0,0,4,1,0,0,1,23,5
1725,1,0,0,4,1,2,0,0,13,6
1726,1,4,0,4,1,1,0,1,4,1
1727,1,0,0,1,1,0,0,0,19,6
1728,1,0,0,1,1,1,0,1,17,6
1729,2,0,0,4,5,1,0,0,83,1
1730,3,0,0,4,1,0,0,0,28,6
1731,2,2,0,4,1,0,0,1,18,5
1732,1,4,0,4,1,1,0,1,39,1
1733,3,4,0,4,1,0,0,1,16,5
1734,1,2,0,4,1,0,0,1,38,3
1735,2,4,0,2,1,0,0,0,58,6
1736,1,0,4,4,5,0,0,1,22,6
1737,1,0,4,4,1,0,0,1,21,3
1738,1,0,4,4,1,1,0,1,24,3
1739,2,4,0,2,1,0,0,1,30,6
1740,2,4,0,2,1,1,0,0,20,6
1741,2,4,0,2,1,1,0,0,20,6
1742,2,4,0,2,1,1,0,0,20,6
1743,2,4,0,2,1,1,0,0,21,6
1744,2,0,0,4,1,0,0,1,24,6
1745,2,4,4,4,1,0,0,1,27,6
1746,3,0,4,4,5,0,0,1,30,6
1747,3,0,4,4,5,0,0,1,45,6
1748,3,0,4,4,5,1,0,0,46,6
1749,3,0,4,4,5,1,0,0,18,6
1750,3,0,0,4,1,0,0,1,29,3
1751,2,4,0,4,1,0,0,1,19,3
1752,1,4,0,1,1,2,0,0,25,6
1753,2,0,0,2,1,1,0,0,55,6
1754,1,2,0,4,1,0,0,1,35,6
1755,1,2,0,4,1,1,0,0,30,6
1756,2,0,0,4,1,0,0,1,34,5
1757,2,4,0,4,1,0,0,0,27,6
1758,2,4,0,4,1,1,0,0,25,6
1759,2,0,0,4,1,0,0,1,20,3
1760,2,0,0,4,1,0,0,1,25,6
1761,2,0,0,4,1,0,0,0,43,6
1762,2,2,0,4,1,0,0,1,48,5
1763,3,4,0,4,1,0,0,0,34,6
1764,2,4,0,4,1,1,0,0,31,6
1765,2,4,0,4,1,1,0,0,13,6
1766,1,4,0,2,1,0,0,1,35,6
1767,1,4,0,2,1,1,1,1,18,6
1768,1,4,0,2,1,1,1,1,17,6
1769,1,4,0,2,1,1,0,1,17,6
1770,1,4,0,4,1,2,0,0,35,6
1771,2,0,4,4,1,0,0,1,25,6
1772,2,0,4,4,1,0,0,0,43,6
1773,2,4,4,4,1,0,0,1,25,6
1774,1,4,0,4,1,2,1,1,2,6
1775,2,0,0,4,1,0,0,1,31,6
1776,2,0,0,4,1,1,0,0,30,6
1777,1,4,4,4,5,2,1,1,61,1
1778,2,3,0,4,1,0,0,1,38,3
1779,2,4,0,4,1,1,0,1,14,6
1780,1,4,0,4,1,1,0,0,17,1
1781,2,3,0,4,1,0,0,1,21,2
1782,2,3,0,4,1,0,0,1,28,6
1783,2,3,0,4,1,1,0,1,48,6
1784,2,0,0,4,1,0,0,0,28,6
1785,2,4,0,4,1,0,0,0,32,3
1786,1,2,0,4,1,1,1,1,38,0
1787,1,4,0,4,1,1,0,0,65,1
1788,2,4,0,4,1,0,0,1,42,5
1789,2,4,0,4,1,1,0,0,49,1
1790,1,0,4,2,5,2,0,0,16,6
1791,1,4,0,4,1,1,0,0,45,1
1792,1,0,0,4,1,1,0,0,35,1
1793,3,3,0,4,1,0,0,0,56,6
1794,3,3,0,4,1,1,0,0,17,6
1795,1,4,0,4,1,1,0,0,36,1
1796,1,4,0,4,1,1,0,0,69,1
1797,2,4,0,4,1,1,0,1,16,6
1798,2,4,0,4,1,1,0,1,22,6
1799,2,4,0,4,1,0,0,1,12,5
1800,2,0,0,4,1,0,0,1,61,6
1801,2,0,0,4,1,0,0,0,25,6
1802,1,4,0,4,1,2,0,1,45,6
1803,1,4,0,4,1,1,0,0,40,1
1804,2,0,0,4,1,0,0,1,43,3
1805,2,4,0,4,1,1,0,0,9,6
1806,2,4,0,4,1,1,0,1,6,6
1807,2,4,0,4,1,2,0,0,9,6
1808,1,4,0,4,1,2,0,1,59,6
1809,2,4,0,4,1,1,0,1,27,6
1810,2,4,0,4,1,1,0,1,28,6
1811,2,4,0,4,1,0,0,0,27,6
1812,2,4,0,4,1,1,0,0,10,6
1813,2,4,0,4,1,1,0,0,16,6
1814,2,4,0,4,1,1,0,0,51,6
1815,2,2,0,4,1,0,0,1,35,5
1816,2,4,0,4,1,0,0,1,26,6
1817,2,4,0,4,1,0,0,1,25,6
1818,2,4,0,4,1,0,0,1,56,6
1819,2,4,0,4,1,1,0,0,43,6
1820,2,3,0,4,1,0,0,1,44,6
1821,1,4,0,4,1,2,0,1,9,6
1822,2,4,0,2,1,0,0,1,35,6
1823,2,4,0,2,1,0,0,1,50,6
1824,2,4,0,2,1,1,0,1,51,6
1825,2,0,0,4,1,0,0,1,34,6
1826,2,0,0,4,1,1,0,0,23,6
1827,1,4,0,2,1,2,0,1,24,6
1828,2,4,0,2,1,1,1,1,21,6
1829,2,0,4,4,5,0,1,1,19,6
1830,2,0,4,4,5,0,0,1,53,2
1831,1,2,0,4,1,2,0,1,8,6
1832,1,0,0,4,1,1,0,0,59,1
1833,1,4,0,4,1,2,0,1,8,6
1834,1,4,0,4,1,1,0,0,15,1
1835,2,0,0,4,1,0,0,1,79,6
1836,2,0,0,4,1,0,0,0,22,6
1837,2,0,0,4,1,1,0,1,20,6
1838,1,4,0,4,1,1,0,0,58,1
1839,1,0,0,4,1,2,1,0,68,6
1840,2,4,0,4,1,0,0,0,42,6
1841,2,4,0,4,1,1,0,0,38,6
1842,1,4,0,4,1,2,0,1,40,4
